file_name,folder,upload_date,image_format,resource_type,width,height,aspect_ratio,megabytes,secure_url
Screen_Shot_2019-02-11_at_2.17.03_PM,,2019-02-11T22:20:23+00:00,png,image,1430,1320,1.08333,3.523592,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923623/Screen_Shot_2019-02-11_at_2.17.03_PM.png
Screen_Shot_2019-02-11_at_2.18.00_PM,,2019-02-11T22:20:22+00:00,png,image,750,868,0.86406,1.261337,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923622/Screen_Shot_2019-02-11_at_2.18.00_PM.png
Screen_Shot_2019-02-11_at_2.17.42_PM,,2019-02-11T22:20:22+00:00,png,image,840,906,0.92715,1.427452,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923622/Screen_Shot_2019-02-11_at_2.17.42_PM.png
Screen_Shot_2019-02-11_at_2.17.19_PM,,2019-02-11T22:20:22+00:00,png,image,1004,714,1.40616,1.367032,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923622/Screen_Shot_2019-02-11_at_2.17.19_PM.png
Screen_Shot_2019-02-11_at_2.16.04_PM,,2019-02-11T22:20:21+00:00,png,image,1300,1240,1.04839,2.805299,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923621/Screen_Shot_2019-02-11_at_2.16.04_PM.png
Screen_Shot_2019-02-11_at_2.16.51_PM,,2019-02-11T22:20:20+00:00,png,image,682,646,1.05573,0.819164,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923620/Screen_Shot_2019-02-11_at_2.16.51_PM.png
Screen_Shot_2019-02-11_at_2.16.07_PM,,2019-02-11T22:20:20+00:00,png,image,890,802,1.10973,1.255431,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923620/Screen_Shot_2019-02-11_at_2.16.07_PM.png
Screen_Shot_2019-02-11_at_2.13.39_PM,,2019-02-11T22:20:20+00:00,png,image,2714,1340,2.02537,6.378505,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923620/Screen_Shot_2019-02-11_at_2.13.39_PM.png
Screen_Shot_2019-02-11_at_2.15.13_PM,,2019-02-11T22:20:19+00:00,png,image,880,1248,0.70513,1.854701,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923619/Screen_Shot_2019-02-11_at_2.15.13_PM.png
Screen_Shot_2019-02-11_at_2.16.37_PM,,2019-02-11T22:20:19+00:00,png,image,578,866,0.66744,0.990538,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923619/Screen_Shot_2019-02-11_at_2.16.37_PM.png
Screen_Shot_2019-02-11_at_2.15.58_PM,,2019-02-11T22:20:19+00:00,png,image,638,698,0.91404,0.760029,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923619/Screen_Shot_2019-02-11_at_2.15.58_PM.png
Screen_Shot_2019-02-11_at_2.14.51_PM,,2019-02-11T22:20:18+00:00,png,image,1438,1362,1.0558,3.496081,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923618/Screen_Shot_2019-02-11_at_2.14.51_PM.png
Screen_Shot_2019-02-11_at_2.15.52_PM,,2019-02-11T22:20:17+00:00,png,image,654,662,0.98792,0.777879,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923617/Screen_Shot_2019-02-11_at_2.15.52_PM.png
Screen_Shot_2019-02-11_at_2.15.03_PM,,2019-02-11T22:20:17+00:00,png,image,996,1312,0.75915,2.182749,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923617/Screen_Shot_2019-02-11_at_2.15.03_PM.png
Screen_Shot_2019-02-11_at_2.15.01_PM,,2019-02-11T22:20:17+00:00,png,image,936,1334,0.70165,2.088205,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923617/Screen_Shot_2019-02-11_at_2.15.01_PM.png
Screen_Shot_2019-02-11_at_2.13.49_PM,,2019-02-11T22:20:15+00:00,png,image,1236,1496,0.8262,3.34865,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923615/Screen_Shot_2019-02-11_at_2.13.49_PM.png
Screen_Shot_2019-02-11_at_2.14.56_PM,,2019-02-11T22:20:15+00:00,png,image,528,652,0.80982,0.584819,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923615/Screen_Shot_2019-02-11_at_2.14.56_PM.png
