file_name,folder,upload_date,image_format,resource_type,width,height,aspect_ratio,megabytes,secure_url,image,"Material
a = asphalt shingle   t = clay tile
mb = mod bit           m = metal
p = pvc/tpo               e = epdm
ra = rolled asphalt    c = roof coating 
b = ballasted            bur = built-up",Overhang,"Damage
s = severe
m = minor
n = none",Ponding,"Rust
s = severe
m = minor
n = none",Shape,"Construction
c = construction","Wear & tear
n = none
l = likely
y = yes","Patching
e = extensive
m = moderate
n = none",VA_ID,status,assignment,comments,upload_status,https://drive.google.com/drive/u/0/folders/1S5GIW6aQzm-ufVvLxUApawxmvyS7Oz8R
damaged_101215,,,png,image,711,651,1.09217,0.556901,https://res.cloudinary.com/mtylerpreston/image/upload/v1538594838/damaged_101215.png,,u,,m,,,,,,,VA1,x,Tyler,,uploaded,
damaged_101185,,,png,image,746,667,1.11844,0.583687,https://res.cloudinary.com/mtylerpreston/image/upload/v1538594838/damaged_101185.png,,t,,m,,,,,,,VA2,x,Tyler,,uploaded,
damaged_101177,,,png,image,939,794,1.18262,0.884897,https://res.cloudinary.com/mtylerpreston/image/upload/v1538594838/damaged_101177.png,,t,,m,,,,,,,VA3,x,Tyler,,uploaded,
damaged_101515,,,png,image,537,573,0.93717,0.363968,https://res.cloudinary.com/mtylerpreston/image/upload/v1538594840/damaged_101515.png,,u,,s,,,,,,,VA4,x,Tyler,,uploaded,
damaged_101478,,,png,image,805,689,1.16836,0.715001,https://res.cloudinary.com/mtylerpreston/image/upload/v1538594841/damaged_101478.png,,t,,s,,,,c,,,VA5,x,Tyler,,uploaded,
Screen_Shot_2018-10-03_at_12.40.19_PM,,,png,image,1118,648,1.72531,1.234189,https://res.cloudinary.com/mtylerpreston/image/upload/v1538596096/Nearmap%20Images/Tagged/Screen_Shot_2018-10-03_at_12.40.19_PM.png,,a,,,,,,,,,VA6,x,Tyler,,uploaded,
Screen_Shot_2018-10-03_at_12.40.03_PM,,,png,image,852,554,1.53791,0.770567,https://res.cloudinary.com/mtylerpreston/image/upload/v1538596097/Nearmap%20Images/Tagged/Screen_Shot_2018-10-03_at_12.40.03_PM.png,,a,,,,,,,,,VA7,x,Pratyush,,uploaded,
Screen_Shot_2018-10-03_at_12.40.07_PM,,,png,image,882,534,1.65169,0.787636,https://res.cloudinary.com/mtylerpreston/image/upload/v1538596098/Nearmap%20Images/Tagged/Screen_Shot_2018-10-03_at_12.40.07_PM.png,,a,,,,,,,,,VA8,x,Pratyush,,uploaded,
Screen_Shot_2018-10-03_at_12.40.11_PM,,,png,image,870,514,1.69261,0.724226,https://res.cloudinary.com/mtylerpreston/image/upload/v1538596099/Nearmap%20Images/Tagged/Screen_Shot_2018-10-03_at_12.40.11_PM.png,,a,,,,,,,,,VA9,x,Pratyush,,uploaded,
Screen_Shot_2018-10-03_at_12.40.13_PM,,,png,image,1118,574,1.94774,1.065938,https://res.cloudinary.com/mtylerpreston/image/upload/v1538596100/Nearmap%20Images/Tagged/Screen_Shot_2018-10-03_at_12.40.13_PM.png,,a,,,,,,,,,VA10,x,Pratyush,,uploaded,
Screen_Shot_2018-10-03_at_12.39.57_PM,,,png,image,882,752,1.17287,1.099373,https://res.cloudinary.com/mtylerpreston/image/upload/v1538596100/Nearmap%20Images/Tagged/Screen_Shot_2018-10-03_at_12.39.57_PM.png,,a,,,,,,,,,VA11,x,Pratyush,,uploaded,
Screen_Shot_2018-10-03_at_12.40.00_PM,,,png,image,772,652,1.18405,0.816024,https://res.cloudinary.com/mtylerpreston/image/upload/v1538596100/Nearmap%20Images/Tagged/Screen_Shot_2018-10-03_at_12.40.00_PM.png,,a,,,,,,,,,VA12,x,Pratyush,,uploaded,
